status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
47298465905_10154463147625906,b'The new retail price of RON95 and RON97 will be RM2.08 and RM2.36 per litre respectively.',"b'RON95 and RON97 up 7 sen, diesel rises 4 sen'",link,http://dlvr.it/P9KYkQ,2017-05-17 05:41:47,30,10,28
47298465905_10154463147510906,"b""If it involves training programmes, then it's the end of Umno, says Perkasa head Ibrahim Ali.""",b'Perkasa unaware of Umno-CPC tie-up',link,http://dlvr.it/P9KYTh,2017-05-17 05:41:43,38,93,30
47298465905_10154463075170906,"b""The trio had implied that the gov't was involved in the abduction of Pastor Raymond Koh and the vanishing of three others.""","b""Cops summon activists over 'enforced disappearances' claim""",link,http://dlvr.it/P9JvLw,2017-05-17 05:09:45,57,13,35
47298465905_10154463075000906,b'Party president Dr Sim Kui Hian says Pujut traditionally belongs to SUPP as a BN component party.',b'SUPP to take on DAP in Pujut by-election',link,http://dlvr.it/P9Jv6L,2017-05-17 05:09:40,23,21,9
47298465905_10154463048570906,b'Video | KiniTV: Parti Sosialis Malaysia (PSM) secretary-general S Arutchelvan says authorities are wasting their time by investigating the group for holding a peaceful May Day rally in Kuala Lumpur.',"b""Arutchelvan: Don't waste time investigating May Day rally""",link,http://www.kinitv.com/video/48354O8,2017-05-17 04:58:57,47,4,5
47298465905_10154463031660906,b'Video | KiniTV: DAP secretary-general Lim Guan Eng has questioned why Selangor speaker Hannah Yeoh was being persecuted for speaking about her own faith as a Christian.',b'Guan Eng: Is it wrong for non-Muslims to talk about their faith?',link,http://www.kinitv.com/video/48352O8,2017-05-17 04:43:30,692,102,107
47298465905_10154463027115906,b'Info chief Nasrudin Hassan urges Muslims to stop battling each other and rise against this.',"b'Enemies of Islam circling to wrest power, PAS leader warns'",link,http://dlvr.it/P9JL4S,2017-05-17 04:38:20,87,347,46
47298465905_10154463027100906,"b""The gov't should dismantle the sugar industry's duopoly instead, says PKR's Gooi Hsiao Leung.""",b'Putrajaya urged to block sugar price hike lobby',link,http://dlvr.it/P9JKts,2017-05-17 04:38:16,23,5,5
47298465905_10154463027015906,"b'After suffering the indignity having to strip naked during a game, the youths are now criminals.'","b'Court fines nude campers, jails organisers'",link,http://dlvr.it/P9JKf8,2017-05-17 04:38:12,132,47,31
47298465905_10154463016080906,b'Prices are up by 4.4 percent compared to last year but transport costs have gone up a whopping 16.7 percent. Do you feel the pinch?\n\nhttps://www.malaysiakini.com/news/382522',b'Timeline Photos',photo,https://www.facebook.com/MalaysiaKini/photos/a.384186960905.170045.47298465905/10154463016080906/?type=3,2017-05-17 04:26:45,124,29,259
47298465905_10154462991480906,b'The two high-ranking officers have been accused of taking bribes from illegal gambling dens and massage parlours.',b'MACC detains two Malacca district police chiefs',link,http://dlvr.it/P9Hg4p,2017-05-17 04:03:11,55,38,33
47298465905_10154462957710906,b'Video | KiniTV: The Malaysian Anti-Corruption Commission (MACC) has nabbed two district police chiefs from Melaka over suspected graft.',b'High-ranking police officers nabbed by MACC',link,http://www.kinitv.com/video/48349O8,2017-05-17 03:35:53,147,50,42
47298465905_10154462952760906,"b'Therefore, no open tender is needed for the RM2 billion development on Peel Avenue, Lim Guan Eng adds.'","b'Island Hospital project is akin to foreign investment, says CM'",link,http://dlvr.it/P9H6z1,2017-05-17 03:31:10,64,21,4
47298465905_10154462925305906,"b'Video | KiniTV: Parti Amanah Negara (Amanah) today defended DAP\'s Subang Jaya asssemblyperson, following allegations that she is proselytising Christianity through her book ""Becoming Hannah"".'","b""Amanah: What's wrong with Yeoh being Christian?""",link,http://www.kinitv.com/video/48347O8,2017-05-17 03:06:36,811,76,105
47298465905_10154462917085906,b'The visit is organised in order for both sides to learn more about their respective religions and cultures.',"b'PAS division visits leaders of other faiths, stresses on mutual respect'",link,http://dlvr.it/P9GVjr,2017-05-17 02:58:19,103,137,13
47298465905_10154462916985906,b'The final winner will be selected by July 14.',b'June 30 deadline to submit Bandar Malaysia development proposals',link,http://dlvr.it/P9GVTk,2017-05-17 02:58:16,15,30,5
